name,price,sample,valuable,bench,bench_low,bench_high
Corsair Vengeance RGB DDR4 3000 C16 2x8GB,379,7600,17.6,81.5,59,102
G.SKILL Flare X DDR4 3200 C14 4x8GB,203,7100,85.5,106,72,142
G.SKILL Ripjaws V DDR4 3200 C16 4x16GB,140,14000,220,94.5,66,135
Corsair Vengeance RGB PRO DDR4 3200 C16 2x16GB,120,144000,120,88.5,64,114
Corsair Vengeance LPX DDR4 2666 C16 4x8GB,96,8400,144,84.7,63,113
G.SKILL Trident Z DDR4 3600 C16 2x8GB,96,4000,83.6,97.8,67,128
Corsair Vengeance LPX DDR4 3600 C18 2x16GB,92,17000,175,98.6,73,124
G.SKILL Flare X DDR4 3200 C14 2x8GB,73,54000,109,97.8,71,129
Corsair Vengeance LPX DDR4 2666 C16 2x16GB,70,29000,177,75.8,50,94
Corsair Vengeance RGB PRO DDR4 3200 C15 2x8GB,60,93000,110,80.5,56,104
Corsair Vengeance LPX DDR4 3200 C16 2x16GB,60,86000,231,84.9,59,111
Corsair Vengeance LPX DDR4 2400 C16 2x16GB,60,9700,209,76.7,58,87
G.SKILL Trident Z DDR4 3200 C16 2x8GB,59,31000,119,85.4,60,107
G.SKILL Trident Z RGB DDR4 3000 C16 2x8GB,56,84000,118,80.8,54,101
G.SKILL Trident Z RGB DDR4 3200 C16 2x8GB,52,215000,132,84.3,60,107
Corsair Vengeance LED DDR4 2666 C16 2x8GB,48,14000,125,74,44,95
Corsair Vengeance LPX DDR4 2133 C13 2x8GB,45,47000,126,69.2,42,80
Corsair Vengeance LPX DDR4 3000 C15 2x8GB,45,606000,149,81.9,58,104
Corsair Vengeance LPX DDR4 3200 C16 2x8GB,42,653000,165,85.1,61,110
Corsair Vengeance LPX DDR4 3200 C16 2x8GB,41,32000,168,84.5,59,110
Corsair Vengeance LPX DDR4 2400 C16 2x8GB,40,105000,155,75.8,50,88
Corsair Vengeance LPX DDR4 2400 C14 2x8GB,40,66000,148,72.6,51,88
Corsair Vengeance LPX DDR4 2666 C16 2x8GB,40,131000,156,76.7,56,95
G.SKILL Ripjaws V DDR4 2400 C15 2x8GB,39,98000,150,71.5,44,88
G.SKILL Ripjaws V DDR4 3200 C16 2x8GB,39,287000,176,84,63,109
Corsair Vengeance LPX DDR4 2400 C16 2x4GB,30,11000,104,76.5,50,90
G.SKILL Ripjaws V DDR4 2400 C15 2x4GB,30,19000,98,72.1,42,88
Crucial Ballistix Sport LT DDR4 2400 C16 1x8GB,30,20000,58.8,43.1,33,48
Crucial UDIMM DDR4 2400 C16 1x16GB,27,2500,125,41.5,32,47
Corsair Vengeance LPX DDR4 2400 C16 1x8GB,25,47000,67.9,41.6,33,48
HyperX Fury DDR4 2133 C14 1x8GB,24,15000,68.4,40.2,33,44
Crucial UDIMM DDR4 2400 C16 1x8GB,21,4100,80.9,41.6,30,47
Corsair Vengeance LPX DDR4 2400 C14 1x8GB,20,19000,79,38.7,28,47
Corsair ValueSelect DDR4 2133 C15 1x4GB,18,1200,43.1,37.3,28,42
Corsair Vengeance LPX DDR4 2400 C14 1x4GB,16,876,48.5,38.7,28,46
Crucial UDIMM DDR4 2400 C17 1x4GB,15,4900,51.3,38.7,27,46
